matchday,date,time,Home team,away team,home team final goals,away team final goals,home team halftime goals,away team halftime goals,winner
,,2000,Manchester United FC,Fulham FC,1,0,0,0,home
,,1230,Ipswich Town FC,Liverpool FC,0,2,0,0,away
,,1500,Arsenal FC,Wolverhampton Wanderers FC,2,0,1,0,home
,,1730,West Ham United FC,Aston Villa FC,1,2,1,1,away
,,1400,Brentford FC,Crystal Palace FC,2,1,1,0,home
,,1630,Chelsea FC,Manchester City FC,0,2,0,1,away
,,2000,Leicester City FC,Tottenham Hotspur FC,1,1,0,1,draw
,,1230,Brighton & Hove Albion FC,Manchester United FC,2,1,1,0,home
,,1500,Crystal Palace FC,West Ham United FC,0,2,0,0,away
,,1730,Aston Villa FC,Arsenal FC,0,2,0,0,away
,,1400,AFC Bournemouth,Newcastle United FC,1,1,1,0,draw
,,1630,Liverpool FC,Brentford FC,2,0,1,0,home
,,1230,Arsenal FC,Brighton & Hove Albion FC,1,1,1,0,draw
,,1500,Brentford FC,Southampton FC,3,1,1,0,home
,,1730,West Ham United FC,Manchester City FC,1,3,1,2,away
,,1330,Chelsea FC,Crystal Palace FC,1,1,1,0,draw
,,1600,Manchester United FC,Liverpool FC,0,3,0,2,away
,,1230,Southampton FC,Manchester United FC,0,3,0,2,away
,,1730,Aston Villa FC,Everton FC,3,2,1,2,home
,,2000,AFC Bournemouth,Chelsea FC,0,1,0,0,away
,,1400,Tottenham Hotspur FC,Arsenal FC,0,1,0,0,away
,,1630,Wolverhampton Wanderers FC,Newcastle United FC,1,2,1,0,away
,,1230,West Ham United FC,Chelsea FC,0,3,0,2,away
,,1500,Aston Villa FC,Wolverhampton Wanderers FC,3,1,0,1,home
,,1400,Brighton & Hove Albion FC,Nottingham Forest FC,2,2,2,1,draw
,,1630,Manchester City FC,Arsenal FC,2,2,1,2,draw
,,1230,Newcastle United FC,Manchester City FC,1,1,0,1,draw
,,1500,Arsenal FC,Leicester City FC,4,2,2,0,home
,,1730,Wolverhampton Wanderers FC,Liverpool FC,1,2,0,1,away
,,1400,Ipswich Town FC,Aston Villa FC,2,2,1,2,draw
,,1630,Manchester United FC,Tottenham Hotspur FC,0,3,0,1,away
,,2000,AFC Bournemouth,Southampton FC,3,1,3,0,home
