Age,Fee,Joined/0,Left/0,Nat.,Nat./0,Nat./1,Player/0,Player/1,id
22,€31.20m,Man City,Burnley,England,,,James Trafford,Goalkeeper,566799
20,loan transfer,Derby,Crystal Palace,,England,Spain,David Ozoh,Defensive Midfield,865993
19,€9.00m,Everton,Bayern Munich,,Morocco,Spain,Adam Aznou,Left-Back,938146
22,?,Stevenage,Aston Villa,,England,Poland,Filip Marschall,Goalkeeper,610863
25,€30.00m,Al-Nassr,Chelsea,Portugal,,,João Félix,Second Striker,462250
20,loan transfer,R. Strasbourg,Chelsea,Belgium,,,Mike Penders,Goalkeeper,834397
27,€16.00m,Leeds,Olympique Lyon,,Brazil,Italy,Lucas Perri,Goalkeeper,352041
27,€65.80m,Arsenal,Sporting CP,,Sweden,Hungary,Viktor Gyökeres,Centre-Forward,325443
34,€500k,Fulham,Montpellier,France,,,Benjamin Lecomte,Goalkeeper,127181
20,loan transfer,Oxford United,Fulham,,Wales,Jersey,Luke Harris,Attacking Midfield,817612
26,loan transfer,Millwall,Fulham,Germany,,,Steven Benda,Goalkeeper,381469
25,free transfer,Sporting CP,Everton,Portugal,,,João Virgínia,Goalkeeper,329813
23,loan transfer,Birmingham,Brighton,,Ireland,England,Eiran Cashin,Centre-Back,581330
24,loan transfer,Coventry,Brighton,England,,,Carl Rushworth,Goalkeeper,646353
26,€3.47m,Wrexham,Forest,England,,,Lewis O'Brien,Central Midfield,560694
21,€15.00m,Arsenal,Valencia,,Spain,Colombia,Cristhian Mosquera,Centre-Back,646750
23,loan transfer,FC Metz,Wolves,Mali,,,Boubacar Traoré,Defensive Midfield,649020
25,€2.00m,Union SG,Brighton,Netherlands,,,Kjell Scherpen,Goalkeeper,463527
27,€17.00m,AC Milan,Brighton,,Ecuador,Spain,Pervis Estupiñán,Left-Back,349599
32,free transfer,Norwich,Crystal Palace,,Ghana,Germany,Jeffrey Schlupp,Left Midfield,157506
27,€17.00m,Wolves,Fluminense,Colombia,,,Jhon Arias,Right Winger,588989
30,free transfer,Grêmio,Fulham,Brazil,,,Carlos Vinícius,Centre-Forward,525287
23,€80.00m,Liverpool,E. Frankfurt,,France,Cameroon,Hugo Ekitiké,Centre-Forward,709726
27,loan transfer,Barcelona,Man Utd,,England,St. Kitts & Nevis,Marcus Rashford,Left Winger,258923
20,Loan fee:€3.00m,AS Roma,Brighton,,Ireland,England,Evan Ferguson,Centre-Forward,648046
26,€28.65m,Everton,Chelsea,,England,Ireland,Kiernan Dewsbury-Hall,Central Midfield,475188
