club_name,player_name,age,nationality,from_team,to_team,type,date,fee
AFC Bournemouth,D. Omilabu,,,Crystal Palace,Maidenhead,Free,2023-08-24,Free
AFC Bournemouth,M. Cadogan,,,Crystal Palace,Swansea City U21,Free,2023-07-04,Free
AFC Bournemouth,Reece Phillip Peter Hannam,,,Crystal Palace,Stevenage,Free,2023-08-14,Free
AFC Bournemouth,Reece Phillip Peter Hannam,,,Bromley,Crystal Palace,N/A,2023-02-01,N/A
AFC Bournemouth,D. Akrobor-Boateng,,,Crystal Palace,Dover,Loan,2023-01-27,Loan
AFC Bournemouth,L. Milivojević,,,Crystal Palace,Shabab Al Ahli Dubai,N/A,2023-07-01,N/A
AFC Bournemouth,Guaita,,,Crystal Palace,Celta Vigo,Free,2023-09-01,Free
AFC Bournemouth,O. Goodman,,,Crystal Palace,Colchester,Loan,2023-07-15,Loan
AFC Bournemouth,J. Gordon,,,Crystal Palace,Cambridge United,Loan,2023-09-01,Loan
AFC Bournemouth,J. Gordon,,,Carlisle,Crystal Palace,N/A,2023-07-01,N/A
AFC Bournemouth,J. Gordon,,,Crystal Palace,Carlisle,Loan,2023-01-13,Loan
AFC Bournemouth,Matheus França,,,Flamengo,Crystal Palace,€ 20M,2023-08-05,€ 20M
AFC Bournemouth,M. Ebiowei,,,Hull City,Crystal Palace,N/A,2023-07-01,N/A
AFC Bournemouth,M. Ebiowei,,,Crystal Palace,Hull City,Loan,2023-01-19,Loan
AFC Bournemouth,N. Ahamada,,,VfB Stuttgart,Crystal Palace,€ 12M,2023-01-31,€ 12M
AFC Bournemouth,J. Lerma,,,Bournemouth,Crystal Palace,Free,2023-07-01,Free
AFC Bournemouth,R. Holding,,,Arsenal,Crystal Palace,€ 1.5M,2023-09-01,€ 1.5M
AFC Bournemouth,R. Matthews,,,ST Johnstone,Crystal Palace,N/A,2023-07-01,N/A
AFC Bournemouth,D. Henderson,,,Manchester United,Crystal Palace,€ 17.5M,2023-08-31,€ 17.5M
AFC Bournemouth,J. O&apos;Brien,,,RWDM,Crystal Palace,N/A,2023-07-01,N/A
AFC Bournemouth,A. Sambi Lokonga,,,Crystal Palace,Arsenal,N/A,2023-07-01,N/A
AFC Bournemouth,A. Sambi Lokonga,,,Arsenal,Crystal Palace,Loan,2023-01-31,Loan
AFC Bournemouth,K. Phillips,,,Crystal Palace,Wycombe,Loan,2023-08-11,Loan
AFC Bournemouth,K. Phillips,,,Crystal Palace,Shrewsbury,Loan,2023-01-01,Loan
AFC Bournemouth,J. Butland,,,Crystal Palace,Rangers,Free,2023-07-01,Free
AFC Bournemouth,J. Butland,,,Crystal Palace,Manchester United,Loan,2023-01-06,Loan
AFC Bournemouth,L. Plange,,,Crystal Palace,Carlisle,Loan,2023-08-01,Loan
AFC Bournemouth,L. Plange,,,RWDM,Crystal Palace,N/A,2023-07-01,N/A
AFC Bournemouth,L. Plange,,,RWDM,Crystal Palace,N/A,2023-01-29,N/A
AFC Bournemouth,K. Balmer,,,Crystal Palace,Port Vale,Loan,2023-07-15,Loan
AFC Bournemouth,M. Boateng,,,Crystal Palace,Dundee,Loan,2023-07-17,Loan
AFC Bournemouth,W. Zaha,,,Crystal Palace,Galatasaray,Free,2023-07-24,Free
Brentford,S. Quintero,,,SC Covilha,Aucas,N/A,2023-01-03,N/A
Brentford,M. Opeyemi,,,Vizela,SC Covilha,Loan,2023-07-01,Loan
Brentford,Ângelo,,,SC Covilha,Cilegon United,Free,2023-06-24,Free
Brentford,F. Tamba,,,SC Covilha,Beira-Mar,N/A,2023-02-11,N/A
Brentford,V. Lontsi,,,Leça,SC Covilha,N/A,2023-07-28,N/A
Brentford,Vitor São Bento,,,SC Covilha,Felgueiras 1932,N/A,2023-07-01,N/A
Brentford,Diogo Ferreira,,,Guimaraes B,SC Covilha,Loan,2023-09-13,Loan
Brentford,Bruno Bolas,,,SC Covilha,O Elvas,Free,2023-08-26,Free
Brentford,Yang Sena,,,SC Covilha,Sanjoanense,N/A,2023-07-01,N/A
Brentford,Mário Borges,,,Sanjoanense,SC Covilha,Free,2023-07-01,Free
Brentford,F. Manga,,,SC Covilha,Salgueiros,N/A,2023-09-02,N/A
Brentford,F. Manga,,,Sanjoanense,SC Covilha,Free,2023-07-01,Free
Brentford,João Traquina,,,Trofense,SC Covilha,Free,2023-01-06,Free
Brentford,K. Shinga,,,SC Covilha,Estrela,N/A,2023-07-01,N/A
Brentford,K. Shinga,,,Estrela,SC Covilha,Loan,2023-01-19,Loan
Brentford,L. Vega,,,SC Covilha,Marítimo,N/A,2023-07-01,N/A
Brentford,L. Vega,,,Marítimo,SC Covilha,Loan,2023-01-12,Loan
Brentford,A. Mársico,,,SC Covilha,Locri 1909,Free,2023-11-03,Free
Brentford,João Vasco,,,Varzim,SC Covilha,N/A,2023-08-02,N/A
Brentford,Michel Camargos,,,Estrela,SC Covilha,Free,2023-07-24,Free
Brentford,Kelvin Medina,,,Vilafranquense,SC Covilha,,2023-01-02,
Brentford,Vasco Coelho,,,Ahironas / Onisilos,SC Covilha,Free,2023-07-01,Free
Brentford,Jaime,,,SC Covilha,Swift Hesperange,Free,2023-07-01,Free
Brentford,Adilson Fernandes,,,SC Covilha,Oliveira Hospital,N/A,2023-01-27,N/A
Brentford,Casagrande,,,Portimonense,SC Covilha,Loan,2023-07-24,Loan
Brentford,Casagrande,,,SC Covilha,Portimonense,N/A,2023-07-01,N/A
Brentford,Diogo Cornélio,,,SC Covilha,Benfica Castelo Branco,Free,2023-09-16,Free
Brentford,João Gonçalo,,,Fafe,SC Covilha,N/A,2023-08-02,N/A
Brentford,A. Benedict,,,Sanjoanense,SC Covilha,Free,2023-07-01,Free
Brentford,Bruno Reis,,,Portimonense,SC Covilha,Loan,2023-07-01,Loan
Brentford,Kukula,,,SC Covilha,Drita,Free,2023-07-01,Free
