,Name,Joined_or_stayed,Club,Age,Position,Market_Value,Fee
0,Martín Zubimendi,1,Arsenal FC,26,Defensive Midfield,"€ 60,000,000","€ 70,000,000"
1,Viktor Gyökeres,1,Arsenal FC,27,Centre-Forward,"€ 75,000,000","€ 65,800,000"
2,Noni Madueke,1,Arsenal FC,23,Right Winger,"€ 40,000,000","€ 56,000,000"
3,Cristhian Mosquera,1,Arsenal FC,21,Centre-Back,"€ 30,000,000","€ 15,000,000"
4,Christian Nørgaard,1,Arsenal FC,31,Defensive Midfield,"€ 11,000,000","€ 11,600,000"
5,Kepa Arrizabalaga,1,Arsenal FC,30,Goalkeeper,"€ 10,000,000","€ 5,800,000"
6,Nuno Tavares,0,Arsenal FC,25,Left-Back,"€ 25,000,000","€ 5,000,000"
7,Marquhos,0,Arsenal FC,22,Right Winger,"€ 5,500,000","€ 3,000,000"
8,Kieran Tierney,0,Arsenal FC,28,Left-Back,"€ 9,000,000",€ 0
9,Jorgho,0,Arsenal FC,33,Defensive Midfield,"€ 6,000,000",€ 0
10,Thomas Partey,0,Arsenal FC,32,Defensive Midfield,"€ 14,000,000",€ 0
11,Takehiro Tomiyasu,0,Arsenal FC,26,Right-Back,"€ 18,000,000",
12,Evann Guessand,1,Aston Villa,24,Centre-Forward,"€ 25,000,000","€ 30,000,000"
13,Yas Özcan,1,Aston Villa,19,Centre-Back,"€ 7,500,000","€ 7,000,000"
14,Marco Bizot,1,Aston Villa,34,Goalkeeper,"€ 3,000,000",
15,Kae Kesler-Hayden,0,Aston Villa,22,Right-Back,"€ 2,500,000","€ 4,000,000"
16,Rob Olsen,0,Aston Villa,35,Goalkeeper,"€ 1,000,000",€ 0
17,Philippe Cho,0,Aston Villa,33,Attacking Midfield,"€ 4,500,000",€ 0
18,Filip Marschall,0,Aston Villa,22,Goalkeeper,"€ 800,000",
19,Kortney Hause,0,Aston Villa,29,Centre-Back,"€ 1,000,000",
20,Djordje Petrovic,1,AFC Bournemouth,25,Goalkeeper,"€ 20,000,000","€ 28,900,000"
