Age,Appearances,Assists,Club,Year,Nat.,Player,Position
27,35,19,Arsenal FC,2015,Germany,Mesut Özil,Attacking Midfield
24,35,14,Tottenham Hotspur,2015,Denmark,Christian Eriksen,Central Midfield
27,34,13,Southampton FC,2015,Serbia,Dušan Tadi?,Right Winger
29,30,12,West Ham United,2015,France,Dimitri Payet,Attacking Midfield
30,24,11,Manchester City,2015,Spain,David Silva,Attacking Midfield
30,28,11,Liverpool FC,2015,England,James Milner,Central Midfield
25,37,10,Leicester City,2015,Algeria,Riyad Mahrez,Right Winger
24,25,9,Manchester City,2015,Belgium,Kevin De Bruyne,Attacking Midfield
24,34,9,Tottenham Hotspur,2015,Argentina,Erik Lamela,Right Winger
22,26,8,Everton FC,2015,Spain,Gerard Deulofeu,Centre-Forward
33,30,8,Norwich City,2015,Ireland,Wes Hoolahan,Attacking Midfield
20,33,8,Tottenham Hotspur,2015,England,Dele Alli,Attacking Midfield
26,37,8,Newcastle United,2015,France,Moussa Sissoko,Central Midfield
27,38,8,Watford FC,2015,England,Troy Deeney,Centre-Forward
22,38,8,Everton FC,2015,England,Ross Barkley,Central Midfield
30,30,7,Southampton FC,2015,Italy,Graziano Pellè,Centre-Forward
24,31,7,Liverpool FC,2015,Brazil,Roberto Firmino,Centre-Forward
30,34,7,Manchester City,2015,Spain,Jesús Navas,Right-Back
26,35,7,Leicester City,2015,England,Danny Drinkwater,Central Midfield
29,36,7,Leicester City,2015,England,Jamie Vardy,Centre-Forward
29,37,7,Chelsea FC,2015,Spain,Cesc FÃ bregas,Central Midfield
26,38,7,Leicester City,2015,England,Marc Albrighton,Right Midfield
24,27,6,Stoke City,2015,Switzerland,Xherdan Shaqiri,Attacking Midfield
27,28,6,Chelsea FC,2015,Spain,Diego Costa,Centre-Forward
28,30,6,Liverpool FC,2015,England,Adam Lallana,Attacking Midfield
25,36,18,Manchester City,2016,Belgium,Kevin De Bruyne,Attacking Midfield
25,36,16,Tottenham Hotspur,2016,Denmark,Christian Eriksen,Central Midfield
27,38,13,Swansea City,2016,Iceland,Gylfi Sigurdsson,Attacking Midfield
30,29,12,Chelsea FC,2016,Spain,Cesc FÃ bregas,Central Midfield
28,33,11,Arsenal FC,2016,Germany,Mesut Özil,Attacking Midfield
28,38,10,Arsenal FC,2016,Chile,Alexis Sánchez,Centre-Forward
29,35,9,Chelsea FC,2016,Spain,Pedro,Right Winger
24,35,9,Crystal Palace,2016,Cote d'Ivoire,Wilfried Zaha,Left Winger
26,36,9,Liverpool FC,2016,Netherlands,Georginio Wijnaldum,Central Midfield
21,37,9,Tottenham Hotspur,2016,England,Dele Alli,Attacking Midfield
26,27,8,West Bromwich Albion,2016,Scotland,Matt Phillips,Right Winger
31,34,8,Manchester City,2016,Spain,David Silva,Attacking Midfield
23,36,8,Everton FC,2016,England,Ross Barkley,Central Midfield
23,29,7,Arsenal FC,2016,England,Alex Oxlade-Chamberlain,Central Midfield
23,30,7,Tottenham Hotspur,2016,England,Harry Kane,Centre-Forward
29,31,7,Liverpool FC,2016,England,Adam Lallana,Attacking Midfield
24,31,7,Liverpool FC,2016,Brazil,Philippe Coutinho,Attacking Midfield
22,33,7,Manchester City,2016,England,Raheem Sterling,Right Winger
24,34,7,Tottenham Hotspur,2016,"Korea, South",Heung-min Son,Left Winger
28,35,7,Chelsea FC,2016,Spain,Diego Costa,Centre-Forward
28,35,7,Chelsea FC,2016,Serbia,Nemanja Matic,Defensive Midfield
25,35,7,Liverpool FC,2016,Brazil,Roberto Firmino,Centre-Forward
29,18,6,West Ham United,2016,France,Dimitri Payet,Attacking Midfield
21,25,6,Manchester United,2016,France,Anthony Martial,Centre-Forward
27,31,6,Manchester United,2016,Spain,Ander Herrera,Central Midfield
26,37,16,Manchester City,2017,Belgium,Kevin De Bruyne,Attacking Midfield
22,32,15,Manchester City,2017,Germany,Leroy Sané,Right Winger
23,33,12,Manchester City,2017,England,Raheem Sterling,Right Winger
32,29,11,Manchester City,2017,Spain,David Silva,Attacking Midfield
25,36,11,Liverpool FC,2017,Egypt,Mohamed Salah,Right Winger
26,37,11,Tottenham Hotspur,2017,Denmark,Christian Eriksen,Central Midfield
25,27,10,Manchester United,2017,France,Paul Pogba,Central Midfield
27,36,10,Leicester City,2017,Algeria,Riyad Mahrez,Right Winger
22,36,10,Tottenham Hotspur,2017,England,Dele Alli,Attacking Midfield
29,26,9,for 2 clubs,2017,Armenia,Henrikh Mkhitaryan,Central Midfield
27,24,8,Arsenal FC,2017,Wales,Aaron Ramsey,Central Midfield
29,26,8,Arsenal FC,2017,Germany,Mesut Özil,Attacking Midfield
27,35,8,Burnley FC,2017,Iceland,Jóhann Berg Gudmundsson,Right Winger
29,36,8,Chelsea FC,2017,Brazil,Willian,Left Winger
26,38,8,Brighton & Hove Albion,2017,Germany,Pascal GroÃŸ,Central Midfield
25,14,7,Liverpool FC,2017,Brazil,Philippe Coutinho,Attacking Midfield
33,26,7,West Bromwich Albion,2017,Northern Ireland,Chris Brunt,Central Midfield
26,29,7,Liverpool FC,2017,Senegal,Sadio Mané,Left Winger
28,34,7,Leicester City,2017,England,Marc Albrighton,Right Midfield
24,34,7,Manchester United,2017,Belgium,Romelu Lukaku,Centre-Forward
24,35,7,for 2 clubs,2017,England,Alex Oxlade-Chamberlain,Central Midfield
26,36,7,Stoke City,2017,Switzerland,Xherdan Shaqiri,Attacking Midfield
28,36,7,West Ham United,2017,England,Aaron Cresswell,Left-Back
26,37,7,Liverpool FC,2017,Brazil,Roberto Firmino,Centre-Forward
25,38,7,Arsenal FC,2017,Switzerland,Granit Xhaka,Defensive Midfield
28,37,15,Chelsea FC,2018,Belgium,Eden Hazard,Left Winger
25,38,14,AFC Bournemouth,2018,Scotland,Ryan Fraser,Left Winger
20,29,12,Liverpool FC,2018,England,Trent Alexander-Arnold,Right-Back
27,35,12,Tottenham Hotspur,2018,Denmark,Christian Eriksen,Central Midfield
23,31,11,Manchester City,2018,Germany,Leroy Sané,Right Winger
25,36,11,Liverpool FC,2018,Scotland,Andrew Robertson,Left-Back
24,34,10,Manchester City,2018,England,Raheem Sterling,Right Winger
27,30,9,AFC Bournemouth,2018,England,Callum Wilson,Centre-Forward
27,35,9,Arsenal FC,2018,France,Alexandre Lacazette,Centre-Forward
26,35,9,Manchester United,2018,France,Paul Pogba,Central Midfield
33,33,8,Manchester City,2018,Spain,David Silva,Attacking Midfield
29,36,8,Newcastle United,2018,Scotland,Matt Ritchie,Right Midfield
32,38,8,Wolverhampton Wanderers,2018,Portugal,João Moutinho,Central Midfield
26,38,8,Liverpool FC,2018,Egypt,Mohamed Salah,Right Winger
30,32,7,Chelsea FC,2018,Brazil,Willian,Left Winger
29,32,7,Newcastle United,2018,Venezuela,Salomón Rondón,Centre-Forward
30,33,7,Manchester City,2018,Argentina,Sergio Agüero,Centre-Forward
21,33,7,Manchester United,2018,England,Marcus Rashford,Left Winger
29,34,7,Burnley FC,2018,England,Ashley Westwood,Defensive Midfield
27,34,7,Liverpool FC,2018,Brazil,Roberto Firmino,Centre-Forward
23,35,7,Arsenal FC,2018,Nigeria,Alex Iwobi,Left Winger
24,36,7,Manchester City,2018,Portugal,Bernardo Silva,Attacking Midfield
22,36,7,Leicester City,2018,England,James Maddison,Attacking Midfield
28,38,7,Wolverhampton Wanderers,2018,Mexico,Raúl Jiménez,Centre-Forward
25,24,6,Arsenal FC,2018,Bosnia-Herzegovina,Sead Kolasinac,Centre-Back
29,35,20,Manchester City,2019,Belgium,Kevin De Bruyne,Attacking Midfield
21,38,13,Liverpool FC,2019,England,Trent Alexander-Arnold,Right-Back
29,33,12,Manchester City,2019,Algeria,Riyad Mahrez,Right Winger
26,36,12,Liverpool FC,2019,Scotland,Andrew Robertson,Left-Back
34,27,11,Manchester City,2019,Spain,David Silva,Attacking Midfield
28,30,11,Tottenham Hotspur,2019,"Korea, South",Heung-min Son,Left Winger
28,34,10,Liverpool FC,2019,Egypt,Mohamed Salah,Right Winger
22,31,9,Manchester United,2019,England,Marcus Rashford,Left Winger
28,35,9,Liverpool FC,2019,Senegal,Sadio Mané,Left Winger
24,37,9,Wolverhampton Wanderers,2019,Spain,Adama Traoré,Right Winger
23,34,8,Manchester City,2019,Brazil,Gabriel Jesus,Centre-Forward
22,36,8,Leicester City,2019,England,Harvey Barnes,Left Winger
28,38,8,Liverpool FC,2019,Brazil,Roberto Firmino,Centre-Forward
25,14,7,Manchester United,2019,Portugal,Bruno Fernandes,Attacking Midfield
24,32,7,Manchester United,2019,France,Anthony Martial,Centre-Forward
25,34,7,Manchester City,2019,Portugal,Bernardo Silva,Attacking Midfield
27,35,7,Everton FC,2019,France,Lucas Digne,Left-Back
31,36,7,Chelsea FC,2019,Brazil,Willian,Left Winger
23,36,7,Norwich City,2019,Argentina,Emiliano Buendía,Attacking Midfield
21,25,6,Chelsea FC,2019,United States,Christian Pulisic,Right Winger
22,28,6,Watford FC,2019,Senegal,Ismaïla Sarr,Right Winger
