Season,Rank,Player,Club(s),Goals
1992-1993,1.0,Teddy Sheringham,Nottingham Forest/Tottenham Hotspur,22.0
1992-1993,2.0,Les Ferdinand,Queens Park Rangers,20.0
1992-1993,3.0,Dean Holdsworth,Wimbledon F.C.,19.0
1992-1993,4.0,Micky Quinn,Coventry City,17.0
1992-1993,5.0,Alan Shearer,Blackburn Rovers,16.0
1992-1993,5.0,David White,Manchester City,16.0
1992-1993,7.0,Chris Armstrong,Crystal Palace,15.0
1992-1993,7.0,Eric Cantona,Leeds United/Manchester United,15.0
1992-1993,7.0,Brian Deane,Sheffield United,15.0
1992-1993,7.0,Mark Hughes,Manchester United,15.0
1992-1993,7.0,Matt Le Tissier,Southampton,15.0
1992-1993,7.0,Mark Robins,Norwich City,15.0
1992-1993,7.0,Ian Wright,Arsenal,15.0
1993-1994,1.0,Andy Cole,Newcastle United,34.0
1993-1994,2.0,Alan Shearer,Blackburn Rovers,31.0
1993-1994,3.0,Matt Le Tissier,Southampton,25.0
1993-1994,3.0,Chris Sutton,Norwich City,25.0
1993-1994,5.0,Ian Wright,Arsenal,23.0
1993-1994,6.0,Peter Beardsley,Newcastle United,20.0
1993-1994,7.0,Mark Bright,Sheffield Wednesday,19.0
1993-1994,8.0,Eric Cantona,Manchester United,18.0
1993-1994,9.0,Dean Holdsworth,Wimbledon,17.0
1993-1994,9.0,Rod Wallace,Leeds United,17.0
1993-1994,10.0,Tony Cottee,Everton,16.0
1993-1994,10.0,Les Ferdinand,Queens Park Rangers,16.0
1994-1995,1.0,Alan Shearer,Blackburn Rovers,34.0
1994-1995,2.0,Robbie Fowler,Liverpool,25.0
1994-1995,3.0,Les Ferdinand,Queens Park Rangers,24.0
1994-1995,4.0,Stan Collymore,Nottingham Forest,22.0
1994-1995,5.0,Andy Cole,Newcastle United / Manchester United,21.0
1994-1995,5.0,Jürgen Klinsmann,Tottenham Hotspur,21.0
1994-1995,7.0,Matt Le Tissier,Southampton,19.0
1994-1995,8.0,Teddy Sheringham,Tottenham Hotspur,18.0
1994-1995,8.0,Ian Wright,Arsenal,18.0
1994-1995,10.0,Uwe Rösler,Manchester City,15.0
1994-1995,10.0,Dean Saunders,Aston Villa,15.0
1994-1995,10.0,Chris Sutton,Blackburn Rovers,15.0
1995-1996,1.0,Alan Shearer,Blackburn Rovers,31.0
1995-1996,2.0,Robbie Fowler,Liverpool,28.0
1995-1996,3.0,Les Ferdinand,Newcastle United,25.0
1995-1996,4.0,Dwight Yorke,Aston Villa,17.0
1995-1996,5.0,Andrei Kanchelskis,Everton,16.0
1995-1996,5.0,Teddy Sheringham,Tottenham Hotspur,16.0
1995-1996,7.0,Chris Armstrong,Tottenham Hotspur,15.0
1995-1996,7.0,Ian Wright,Arsenal,15.0
1995-1996,9.0,Eric Cantona,Manchester United,14.0
1995-1996,9.0,Stan Collymore,Liverpool,14.0
1995-1996,9.0,Dion Dublin,Coventry City,14.0
1996-1997,1.0,Alan Shearer,Newcastle United,25.0
1996-1997,2.0,Ian Wright,Arsenal,23.0
1996-1997,3.0,Robbie Fowler,Liverpool,18.0
1996-1997,3.0,Ole Gunnar Solskjær,Manchester United,18.0
1996-1997,5.0,Dwight Yorke,Aston Villa,17.0
1996-1997,6.0,Les Ferdinand,Newcastle United,16.0
1996-1997,6.0,Fabrizio Ravanelli,Middlesbrough,16.0
1996-1997,8.0,Dion Dublin,Coventry City,13.0
1996-1997,8.0,Matt Le Tissier,Southampton,13.0
1996-1997,10.0,Dennis Bergkamp,Arsenal,12.0
1996-1997,10.0,Steve Claridge,Leicester City,12.0
1996-1997,10.0,Stan Collymore,Liverpool,12.0
1996-1997,10.0,Juninho,Middlesbrough,12.0
1997-1998,1.0,Dion Dublin,Coventry City,18.0
1997-1998,1.0,Michael Owen,Liverpool,18.0
1997-1998,1.0,Chris Sutton,Blackburn Rovers,18.0
1997-1998,4.0,Dennis Bergkamp,Arsenal,16.0
1997-1998,4.0,Kevin Gallacher,Blackburn Rovers,16.0
1997-1998,4.0,Jimmy Floyd Hasselbaink,Leeds United,16.0
1997-1998,7.0,Andy Cole,Manchester United,15.0
1997-1998,7.0,John Hartson,West Ham United,15.0
1997-1998,9.0,Darren Huckerby,Coventry City,14.0
1997-1998,10.0,Paulo Wanchope,Derby County,13.0
1998-1999,1.0,Jimmy Floyd Hasselbaink,Leeds United,18.0
1998-1999,1.0,Michael Owen,Liverpool,18.0
1998-1999,1.0,Dwight Yorke,Manchester United,18.0
1998-1999,4.0,Nicolas Anelka,Arsenal,17.0
1998-1999,4.0,Andy Cole,Manchester United,17.0
1998-1999,6.0,Hamilton Ricard,Middlesbrough,15.0
1998-1999,7.0,Dion Dublin,Aston Villa,14.0
1998-1999,7.0,Robbie Fowler,Liverpool,14.0
1998-1999,7.0,Julian Joachim,Aston Villa,14.0
1998-1999,7.0,Alan Shearer,Newcastle United,14.0
1999-2000,1.0,Kevin Phillips,Sunderland,30.0
1999-2000,2.0,Alan Shearer,Newcastle United,23.0
1999-2000,3.0,Dwight Yorke,Manchester United,20.0
1999-2000,4.0,Michael Bridges,Leeds United,19.0
1999-2000,4.0,Andy Cole,Manchester United,19.0
1999-2000,6.0,Thierry Henry,Arsenal,17.0
1999-2000,7.0,Paolo Di Canio,West Ham United,16.0
1999-2000,8.0,Chris Armstrong,Tottenham Hotspur,14.0
1999-2000,8.0,Steffen Iversen,Tottenham Hotspur,14.0
1999-2000,8.0,Niall Quinn,Sunderland,14.0
2000-2001,1.0,Jimmy Floyd Hasselbaink,Chelsea,23.0
2000-2001,2.0,Marcus Stewart,Ipswich Town,19.0
2000-2001,3.0,Thierry Henry,Arsenal,17.0
2000-2001,3.0,Mark Viduka,Leeds United,17.0
2000-2001,5.0,Michael Owen,Liverpool,16.0
2000-2001,6.0,Teddy Sheringham,Manchester United,15.0
2000-2001,7.0,Emile Heskey,Liverpool,14.0
2000-2001,7.0,Kevin Phillips,Sunderland,14.0
2000-2001,9.0,Alen Bokšić,Middlesbrough,12.0
2000-2001,10.0,James Beattie,Southampton,11.0
2000-2001,10.0,Jonatan Johansson,Charlton Athletic,11.0
2000-2001,10.0,Frédéric Kanouté,West Ham United,11.0
2000-2001,10.0,Gustavo Poyet,Chelsea,11.0
2000-2001,10.0,Alan Smith,Leeds United,11.0
2001-2002,1.0,Thierry Henry,Arsenal,24.0
2001-2002,2.0,Jimmy Floyd Hasselbaink,Chelsea,23.0
2001-2002,2.0,Ruud van Nistelrooy,Manchester United,23.0
2001-2002,2.0,Alan Shearer,Newcastle United,23.0
2001-2002,5.0,Michael Owen,Liverpool,19.0
2001-2002,6.0,Ole Gunnar Solskjær,Manchester United,17.0
2001-2002,7.0,Robbie Fowler,Liverpool / Leeds United,15.0
2001-2002,8.0,Eiður Guðjohnsen,Chelsea,14.0
2001-2002,8.0,Marians Pahars,Southampton,14.0
2001-2002,10.0,Andy Cole,Manchester United,13.0
2002-2003,1.0,Ruud van Nistelrooy,Manchester United,25.0
2002-2003,2.0,Thierry Henry,Arsenal,24.0
2002-2003,3.0,James Beattie,Southampton,23.0
2002-2003,4.0,Mark Viduka,Leeds United,20.0
2002-2003,5.0,Michael Owen,Liverpool,19.0
2002-2003,6.0,Alan Shearer,Newcastle United,17.0
2002-2003,7.0,Nicolas Anelka,Manchester City,15.0
2002-2003,8.0,Harry Kewell,Leeds United,14.0
2002-2003,8.0,Robert Pires,Arsenal,14.0
2002-2003,8.0,Paul Scholes,Manchester United,14.0
2002-2003,8.0,Gianfranco Zola,Chelsea,14.0
2003-2004,1.0,Thierry Henry,Arsenal,30.0
2003-2004,2.0,Alan Shearer,Newcastle United,22.0
2003-2004,3.0,Louis Saha,Manchester United /Fulham,20.0
2003-2004,3.0,Ruud van Nistelrooy,Manchester United,20.0
2003-2004,5.0,Mikael Forssell,Birmingham City,17.0
2003-2004,6.0,Nicolas Anelka,Manchester City,16.0
2003-2004,6.0,Juan Pablo Ángel,Aston Villa,16.0
2003-2004,6.0,Michael Owen,Liverpool,16.0
2003-2004,6.0,Yakubu,Portsmouth,16.0
2003-2004,10.0,James Beattie,Southampton,14.0
2004-2005,1.0,Thierry Henry,Arsenal,25.0
2004-2005,2.0,Andy Johnson,Crystal Palace,21.0
2004-2005,3.0,Robert Pires,Arsenal,14.0
2004-2005,4.0,Jermain Defoe,Tottenham Hotspur,13.0
2004-2005,4.0,Jimmy Floyd Hasselbaink,Middlesbrough,13.0
2004-2005,4.0,Frank Lampard,Chelsea,13.0
2004-2005,4.0,Yakubu,Portsmouth,13.0
2004-2005,8.0,Andy Cole,Fulham,12.0
2004-2005,8.0,Peter Crouch,Southampton,12.0
2004-2005,8.0,Eiður Guðjohnsen,Chelsea,12.0
2005-2006,1.0,Thierry Henry,Arsenal,27.0
2005-2006,2.0,Ruud van Nistelrooy,Manchester United,21.0
2005-2006,3.0,Darren Bent,Charlton Athletic,18.0
