Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,season,scraped_date
Arsenal,25,25.8,56.9,38,418,"3,420",38.0,67,55,122,65,2,2,70,6,59.9,58.4,45.3,103.6,852,1826,1.76,1.45,3.21,1.71,3.16,1.58,1.19,2.77,1.54,2.73,2024-2025,2025-08-19
Aston Villa,28,27.0,50.5,38,418,"3,420",38.0,56,45,101,53,3,6,76,4,56.1,51.3,41.7,93.0,720,1344,1.47,1.18,2.66,1.39,2.58,1.48,1.10,2.57,1.35,2.45,2024-2025,2025-08-19
Bournemouth,29,25.1,48.5,38,418,"3,420",38.0,57,41,98,51,6,7,97,3,64.0,58.5,43.8,102.3,754,1489,1.50,1.08,2.58,1.34,2.42,1.68,1.15,2.84,1.54,2.69,2024-2025,2025-08-19
Brentford,28,25.8,47.9,38,418,"3,420",38.0,65,44,109,60,5,6,62,1,59.0,54.4,42.4,96.8,598,1356,1.71,1.16,2.87,1.58,2.74,1.55,1.12,2.67,1.43,2.55,2024-2025,2025-08-19
Brighton,32,24.8,52.3,38,418,"3,420",38.0,64,41,105,57,7,7,78,3,58.7,53.3,40.4,93.7,816,1539,1.68,1.08,2.76,1.50,2.58,1.54,1.06,2.61,1.40,2.47,2024-2025,2025-08-19
Chelsea,29,23.7,57.1,38,418,"3,420",38.0,61,47,108,57,4,5,101,2,67.8,63.8,52.7,116.5,861,1595,1.61,1.24,2.84,1.50,2.74,1.78,1.39,3.17,1.68,3.07,2024-2025,2025-08-19
Crystal Palace,29,26.2,42.8,38,418,"3,420",38.0,49,38,87,46,3,4,80,4,60.4,57.3,46.4,103.7,510,1158,1.29,1.00,2.29,1.21,2.21,1.59,1.22,2.81,1.51,2.73,2024-2025,2025-08-19
Everton,26,28.0,40.9,38,418,"3,420",38.0,39,27,66,37,2,2,82,2,41.8,40.2,32.2,72.4,486,1041,1.03,0.71,1.74,0.97,1.68,1.10,0.85,1.95,1.06,1.91,2024-2025,2025-08-19
Fulham,26,28.1,52.3,38,418,"3,420",38.0,53,44,97,50,3,4,80,2,49.0,45.9,37.5,83.4,786,1558,1.39,1.16,2.55,1.32,2.47,1.29,0.99,2.28,1.21,2.20,2024-2025,2025-08-19
Ipswich Town,32,25.8,40.6,38,418,"3,420",38.0,35,26,61,33,2,2,93,5,34.4,32.8,24.2,57.0,513,935,0.92,0.68,1.61,0.87,1.55,0.90,0.64,1.54,0.86,1.50,2024-2025,2025-08-19
