Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,season,scraped_date
Arsenal,25,38.0,67,544,178,32.7,14.32,4.68,0.12,0.37,15.1,10,2,2,59.9,58.4,0.11,+7.1,+6.6,2024-2025,2025-08-19
Aston Villa,28,38.0,56,478,159,33.3,12.58,4.18,0.11,0.33,16.3,12,3,6,56.1,51.3,0.11,-0.1,+1.7,2024-2025,2025-08-19
Bournemouth,29,38.0,57,574,192,33.4,15.11,5.05,0.09,0.27,16.7,10,6,7,64.0,58.5,0.10,-7.0,-7.5,2024-2025,2025-08-19
Brentford,28,38.0,65,434,173,39.9,11.42,4.55,0.14,0.35,14.9,10,5,6,59.0,54.4,0.13,+6.0,+5.6,2024-2025,2025-08-19
Brighton,32,38.0,64,526,183,34.8,13.84,4.82,0.11,0.31,17.2,25,7,7,58.7,53.3,0.10,+5.3,+3.7,2024-2025,2025-08-19
Chelsea,29,38.0,61,590,203,34.4,15.53,5.34,0.10,0.28,16.7,17,4,5,67.8,63.8,0.11,-6.8,-6.8,2024-2025,2025-08-19
Crystal Palace,29,38.0,49,512,175,34.2,13.47,4.61,0.09,0.26,16.8,19,3,4,60.4,57.3,0.11,-11.4,-11.3,2024-2025,2025-08-19
Everton,26,38.0,39,404,139,34.4,10.63,3.66,0.09,0.27,16.8,11,2,2,41.8,40.2,0.10,-2.8,-3.2,2024-2025,2025-08-19
Fulham,26,38.0,53,516,167,32.4,13.58,4.39,0.10,0.30,16.4,10,3,4,49.0,45.9,0.09,+4.0,+4.1,2024-2025,2025-08-19
Ipswich Town,32,38.0,35,374,120,32.1,9.84,3.16,0.09,0.28,17.7,10,2,2,34.4,32.8,0.09,+0.6,+0.2,2024-2025,2025-08-19
Leicester City,32,38.0,33,332,105,31.6,8.74,2.76,0.09,0.30,17.3,8,2,3,32.6,30.4,0.09,+0.4,+0.6,2024-2025,2025-08-19
Liverpool,24,38.0,85,639,215,33.6,16.82,5.66,0.12,0.35,15.9,11,9,9,82.2,75.2,0.12,+2.8,+0.8,2024-2025,2025-08-19
Manchester City,30,38.0,71,603,208,34.5,15.87,5.47,0.11,0.33,16.9,21,3,4,68.1,64.9,0.11,+2.9,+3.1,2024-2025,2025-08-19
Manchester Utd,31,38.0,42,524,168,32.1,13.79,4.42,0.07,0.23,17.4,15,4,4,52.6,49.4,0.10,-10.6,-11.4,2024-2025,2025-08-19
Newcastle Utd,24,38.0,66,519,163,31.4,13.66,4.29,0.12,0.37,15.9,14,5,6,63.8,59.5,0.12,+2.2,+1.5,2024-2025,2025-08-19
Nott'ham Forest,23,38.0,57,460,162,35.2,12.11,4.26,0.12,0.33,17.5,15,3,3,45.5,43.2,0.10,+11.5,+10.8,2024-2025,2025-08-19
Southampton,36,38.0,25,341,106,31.1,8.97,2.79,0.07,0.24,16.3,7,0,2,32.7,30.9,0.09,-7.7,-5.9,2024-2025,2025-08-19
Tottenham,31,38.0,61,493,177,35.9,12.97,4.66,0.12,0.33,16.0,13,3,4,58.8,55.7,0.12,+2.2,+2.3,2024-2025,2025-08-19
West Ham,27,38.0,43,473,137,29.0,12.45,3.61,0.08,0.29,16.3,14,3,3,47.0,44.7,0.10,-4.0,-4.7,2024-2025,2025-08-19
Wolves,32,38.0,53,431,155,36.0,11.34,4.08,0.12,0.34,18.1,18,0,0,43.7,43.7,0.10,+9.3,+9.3,2024-2025,2025-08-19
Arsenal,25,38.0,86,647,209,32.3,17.03,5.50,0.12,0.36,15.8,6,10,10,76.1,68.5,0.11,+9.9,+7.5,2023-2024,2025-08-19
Aston Villa,31,38.0,72,511,182,35.6,13.45,4.79,0.13,0.37,16.0,15,4,4,63.3,60.3,0.12,+8.7,+7.7,2023-2024,2025-08-19
Bournemouth,30,38.0,52,539,175,32.5,14.18,4.61,0.09,0.29,16.7,18,2,3,55.9,53.6,0.10,-3.9,-3.6,2023-2024,2025-08-19
Brentford,28,38.0,54,470,159,33.8,12.37,4.18,0.11,0.32,15.6,17,3,3,58.2,56.0,0.12,-4.2,-5.0,2023-2024,2025-08-19
Brighton,30,38.0,50,555,198,35.7,14.61,5.21,0.08,0.23,16.7,11,5,6,56.8,52.2,0.10,-6.8,-7.2,2023-2024,2025-08-19
Burnley,31,38.0,40,430,137,31.9,11.32,3.61,0.09,0.27,17.7,13,3,3,40.6,38.3,0.09,-0.6,-1.3,2023-2024,2025-08-19
